gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000253320.7_AZIN1-AS1	67.2	-4.5	2.554e-68	1.072e-65
ENSG00000205593.12_DENND6B	156.4	-5.5	3.927e-68	1.635e-65
ENSG00000165233.18_CARD19	513.5	-4.1	4.871e-68	2.003e-65
ENSG00000250903.9_GMDS-DT	148.8	-2.5	9.431e-68	3.846e-65
ENSG00000197312.12_DDI2	21085.9	3.3	1.182e-67	5.508e-65
ENSG00000012124.17_CD22	59.2	-7.7	1.802e-67	7.176e-65
ENSG00000274712.1_AC005332.4	72.9	-6.3	3.395e-67	1.336e-64
ENSG00000155090.15_KLF10	3949.1	-4.6	3.225e-67	1.542e-64
ENSG00000124641.16_MED20	874.2	2.5	4.803e-67	1.634e-64
ENSG00000134440.12_NARS1	11996.1	2.6	4.518e-67	2.111e-64
ENSG00000167483.18_NIBAN3	32.2	-4.2	1.314e-66	4.904e-64
ENSG00000196715.7_VKORC1L1	2299.7	2.5	2.657e-66	1.142e-63
ENSG00000108924.14_HLF	258.7	-9.4	9.199e-66	3.363e-63
ENSG00000128040.11_SPINK2	688.2	-10.7	1.347e-65	4.873e-63
ENSG00000174243.10_DDX23	5285.2	1.9	2.772e-65	1.125e-62
ENSG00000246985.8_SOCS2-AS1	197.9	-3.5	3.245e-65	1.156e-62
ENSG00000229425.3_AJ009632.2	197.7	-9.6	6.256e-65	2.251e-62
ENSG00000095932.7_SMIM24	1980.3	-9.7	7.552e-65	3.288e-62
ENSG00000084733.11_RAB10	10886.2	2.3	1.448e-64	5.639e-62
ENSG00000101935.10_AMMECR1	6443.6	3.9	1.876e-64	7.646e-62
ENSG00000133119.13_RFC3	3688.8	3.3	2.532e-64	1.022e-61
ENSG00000145386.10_CCNA2	10074.3	3.9	5.784e-64	2.185e-61
ENSG00000134802.17_SLC43A3	9635.1	3.3	1.372e-63	5.573e-61
ENSG00000154721.15_JAM2	37.7	-5.8	2.822e-63	9.175e-61
ENSG00000184194.5_GPR173	48.8	-5.5	2.842e-63	9.175e-61
ENSG00000132313.15_MRPL35	1733.9	2.6	5.213e-63	1.440e-60
ENSG00000169188.5_APEX2	2464.1	2	4.164e-63	1.489e-60
ENSG00000164305.19_CASP3	2661.3	2.4	5.332e-63	1.901e-60
ENSG00000142303.14_ADAMTS10	106.7	-5.3	6.726e-63	2.106e-60
ENSG00000120913.23_PDLIM2	133.2	-5	9.926e-63	3.145e-60
ENSG00000075336.12_TIMM21	879.5	2.6	3.843e-62	1.038e-59
ENSG00000106266.11_SNX8	2896.1	2.7	4.076e-62	1.401e-59
ENSG00000124217.5_MOCS3	369.8	2.6	7.358e-62	2.215e-59
ENSG00000121966.7_CXCR4	1897.7	-6.7	1.172e-61	3.931e-59
ENSG00000113456.19_RAD1	1353.4	2	1.837e-61	4.673e-59
ENSG00000099860.9_GADD45B	767.9	-7	8.923e-61	2.322e-58
ENSG00000051596.9_THOC3	1959	3.1	2.093e-60	6.721e-58
ENSG00000074266.21_EED	983.8	2.7	2.656e-60	6.721e-58
ENSG00000253797.2_UTP14C	1102.5	5.5	2.334e-60	6.721e-58
ENSG00000276517.1_AL133243.3	70.9	-5.5	2.468e-60	6.965e-58
ENSG00000154783.12_FGD5	465.2	-9.4	2.536e-60	7.299e-58
ENSG00000105281.12_SLC1A5	45274.8	3.2	2.724e-60	8.589e-58
ENSG00000113916.18_BCL6	3258.1	-6.8	3.608e-60	1.230e-57
ENSG00000159131.17_GART	5526.2	3.1	9.491e-60	2.944e-57
ENSG00000127423.10_AUNIP	909.8	3.8	1.647e-59	3.946e-57
ENSG00000168496.4_FEN1	6202.2	2.5	1.390e-59	4.627e-57
ENSG00000224080.1_UBE2FP1	63.1	-5.7	1.733e-59	4.656e-57
ENSG00000136937.13_NCBP1	2963.6	2.3	2.483e-59	7.589e-57
ENSG00000177410.13_ZFAS1	4498.3	-3.7	2.482e-59	7.589e-57
ENSG00000150457.9_LATS2	973.9	-2.9	1.132e-58	2.607e-56
ENSG00000213085.10_CFAP45	65.3	-5.4	1.264e-58	3.264e-56
ENSG00000087263.17_OGFOD1	1767.2	1.5	1.282e-58	3.734e-56
ENSG00000152147.11_GEMIN6	342	2.4	1.572e-58	4.015e-56
ENSG00000256043.3_CTSO	76.5	-3.6	1.734e-58	4.379e-56
ENSG00000143995.20_MEIS1	1299.2	-4.1	2.110e-58	5.295e-56
ENSG00000197992.7_CLEC9A	44.9	-7.5	2.454e-58	6.104e-56
ENSG00000054392.13_HHAT	63.6	-3.9	2.986e-58	7.373e-56
ENSG00000188785.12_ZNF548	706.9	-2.1	3.634e-58	8.978e-56
ENSG00000109321.11_AREG	1607.9	-11.4	6.870e-58	1.674e-55
ENSG00000198663.16_C6orf89	8763.9	2.3	7.809e-58	2.144e-55
ENSG00000272106.1_AL691432.2	216.2	-2.9	1.166e-57	2.807e-55
ENSG00000128016.7_ZFP36	8156.8	-7.1	1.232e-57	3.634e-55
ENSG00000107789.16_MINPP1	12845.5	2.8	1.711e-57	4.715e-55
ENSG00000182983.15_ZNF662	43.9	-5.9	4.206e-57	9.918e-55
ENSG00000168806.8_LCMT2	586.8	2.7	4.386e-57	1.052e-54
ENSG00000173276.14_ZBTB21	1365	-3.4	5.705e-57	1.332e-54
ENSG00000155850.8_SLC26A2	3943.8	4.6	5.965e-57	1.559e-54
ENSG00000168291.13_PDHB	1929.8	1.7	9.871e-57	2.710e-54
ENSG00000067082.15_KLF6	10133.1	-5.3	1.095e-56	2.985e-54
ENSG00000124207.17_CSE1L	6378.1	2.7	2.466e-56	6.680e-54
ENSG00000135596.18_MICAL1	857.1	-5.3	3.907e-56	7.555e-54
ENSG00000105369.10_CD79A	121.6	-5.9	5.354e-56	1.218e-53
ENSG00000197976.12_AKAP17A	1418.7	-2.9	6.186e-56	1.218e-53
ENSG00000102057.10_KCND1	158.5	-4.3	6.025e-56	1.328e-53
ENSG00000197976.12_PAR_Y_AKAP17A	1418.7	-2.9	6.186e-56	1.351e-53
ENSG00000127124.16_HIVEP3	131.4	-4.9	6.682e-56	1.457e-53
ENSG00000156970.12_BUB1B	3071.8	4.2	5.545e-56	1.478e-53
ENSG00000110811.20_P3H3	73.7	-4.9	7.963e-56	1.715e-53
ENSG00000130826.18_DKC1	6125.9	1.8	1.286e-55	3.386e-53
ENSG00000110848.8_CD69	2018	-9	1.561e-55	3.963e-53
ENSG00000188404.10_SELL	2049.4	-6.6	2.568e-55	6.123e-53
ENSG00000159388.6_BTG2	16329.6	-5.9	2.699e-55	6.949e-53
ENSG00000029534.20_ANK1	110980.6	4.3	3.472e-55	8.914e-53
ENSG00000120129.6_DUSP1	11432.1	-6.5	3.825e-55	9.471e-53
ENSG00000181315.11_ZNF322	550.9	2.8	4.938e-55	1.040e-52
ENSG00000120696.9_KBTBD7	642.3	2.8	5.765e-55	1.125e-52
ENSG00000055118.15_KCNH2	22182.2	4	1.256e-54	2.888e-52
ENSG00000157653.11_C9orf43	95.1	-5.1	1.484e-54	3.009e-52
ENSG00000072858.10_SIDT1	61.7	-6.2	4.234e-54	8.531e-52
ENSG00000124224.17_PPP4R1L	152.8	-4.5	8.197e-54	1.640e-51
ENSG00000171502.15_COL24A1	114.3	-7.1	1.839e-53	3.661e-51
ENSG00000049540.17_ELN	227.5	-10.2	1.951e-53	3.941e-51
ENSG00000168060.16_NAALADL1	163.6	-6.5	6.324e-53	1.240e-50
ENSG00000185291.12_IL3RA	83.2	-5.4	7.954e-53	1.546e-50
ENSG00000185291.12_PAR_Y_IL3RA	83.2	-5.4	7.954e-53	1.546e-50
ENSG00000075426.12_FOSL2	4303.1	-8.2	8.264e-53	1.906e-50
ENSG00000118473.22_SGIP1	318.3	-7.8	1.069e-52	2.056e-50
ENSG00000257815.6_CNOT2-DT	262.6	-4.2	1.299e-52	2.474e-50
ENSG00000134201.12_GSTM5	135	-6.1	1.458e-52	2.773e-50
ENSG00000165312.6_OTUD1	1066.3	-3.5	2.677e-52	4.443e-50
ENSG00000082196.20_C1QTNF3	65.2	-3.5	2.922e-52	5.606e-50
ENSG00000142173.16_COL6A2	89.9	-8.7	3.015e-52	5.615e-50
ENSG00000177946.6_CENPBD1	342.1	2.6	3.626e-52	6.745e-50
ENSG00000152253.9_SPC25	705.9	4.3	4.824e-52	8.924e-50
ENSG00000140379.8_BCL2A1	263.8	-8.8	1.417e-51	2.659e-49
ENSG00000170390.16_DCLK2	31.8	-5.2	1.628e-51	3.021e-49
ENSG00000163002.13_NUP35	562.3	2.6	2.346e-51	4.230e-49
ENSG00000221995.5_TIAF1	138.9	-6.2	2.333e-51	4.230e-49
ENSG00000159433.12_STARD9	422.7	-5.2	4.917e-51	9.032e-49
ENSG00000108439.10_PNPO	1379.8	3.3	6.933e-51	1.098e-48
ENSG00000164050.13_PLXNB1	111.1	-6.7	7.145e-51	1.265e-48
ENSG00000083799.17_CYLD	2538.9	-2.9	6.737e-51	1.346e-48
ENSG00000143633.13_C1orf131	641.5	1.9	8.031e-51	1.347e-48
ENSG00000275896.5_PRSS2	159.9	-10.5	8.895e-51	1.592e-48
ENSG00000104432.14_IL7	126.8	3	9.307e-51	1.613e-48
ENSG00000255112.3_CHMP1B	3789.3	-2.4	8.696e-51	1.702e-48
ENSG00000120910.14_PPP3CC	644.3	-2	1.187e-50	2.037e-48
ENSG00000185875.13_THNSL1	306.7	3.7	1.384e-50	2.378e-48
ENSG00000179094.16_PER1	13289.4	-5.8	1.179e-50	2.403e-48
ENSG00000166477.13_LEO1	1040.7	2.3	1.846e-50	2.776e-48
ENSG00000117682.17_DHDDS	767	1.7	1.879e-50	2.812e-48
ENSG00000197576.14_HOXA4	41.3	-4	2.169e-50	3.649e-48
ENSG00000140848.17_CPNE2	184.2	-4.7	4.261e-50	7.142e-48
ENSG00000106004.5_HOXA5	484.1	-6.7	4.365e-50	7.426e-48
ENSG00000159753.14_CARMIL2	369.4	-4.9	5.209e-50	8.818e-48
ENSG00000139625.13_MAP3K12	278.7	-4	1.589e-49	2.677e-47
ENSG00000232533.1_AC093673.1	62.4	-6.3	1.798e-49	3.014e-47
ENSG00000162645.13_GBP2	692.3	-7.9	2.109e-49	3.026e-47
ENSG00000023228.14_NDUFS1	5650.1	2.1	1.895e-49	3.676e-47
ENSG00000167077.13_MEI1	42.7	-4.6	2.306e-49	3.787e-47
ENSG00000069399.15_BCL3	899.6	-7.2	2.746e-49	3.793e-47
ENSG00000162852.14_CNST	1326.4	-2.8	3.036e-49	4.167e-47
ENSG00000167721.11_TSR1	2675.2	2.5	2.315e-49	4.167e-47
ENSG00000088682.14_COQ9	1193.4	1.6	3.219e-49	4.384e-47
ENSG00000196378.12_ZNF34	298.8	-3.6	3.076e-49	4.866e-47
ENSG00000179750.16_APOBEC3B	1733.2	4.1	6.044e-49	8.352e-47
ENSG00000183166.11_CALN1	367.8	-6.1	1.237e-48	1.930e-46
ENSG00000132646.11_PCNA	11963.9	2.7	1.349e-48	2.432e-46
ENSG00000175216.15_CKAP5	14096.9	3.1	1.589e-48	2.782e-46
ENSG00000153944.11_MSI2	4012.5	-3.1	1.704e-48	2.969e-46
ENSG00000132763.15_MMACHC	396.8	3.3	1.964e-48	3.083e-46
ENSG00000166181.13_API5	6259.9	1.9	2.086e-48	3.925e-46
ENSG00000176624.11_MEX3C	2198.5	-2.8	2.295e-48	4.172e-46
ENSG00000152683.14_SLC30A6	1616.1	2.5	4.064e-48	6.169e-46
ENSG00000039123.16_MTREX	4164.6	2.1	5.142e-48	8.760e-46
ENSG00000114796.16_KLHL24	5406.5	-3.5	5.193e-48	9.316e-46
ENSG00000066382.16_MPPED2	32.5	-7.9	9.880e-48	1.478e-45
ENSG00000169679.15_BUB1	5366.4	4.1	9.275e-48	1.699e-45
ENSG00000117399.14_CDC20	6155.9	3.2	1.366e-47	2.345e-45
ENSG00000087586.17_AURKA	5422.8	3.5	1.512e-47	2.519e-45
ENSG00000185022.12_MAFF	4030.3	-8	1.979e-47	3.473e-45
ENSG00000156671.15_SAMD8	313.3	-2.7	2.540e-47	3.684e-45
ENSG00000170312.16_CDK1	6955.7	4.1	2.184e-47	3.684e-45
ENSG00000240137.6_ERICH6-AS1	43.6	-3.8	2.564e-47	3.710e-45
ENSG00000134057.15_CCNB1	6152.6	4.1	2.412e-47	4.272e-45
ENSG00000142528.16_ZNF473	581.3	2.5	3.134e-47	4.294e-45
ENSG00000171522.6_PTGER4	616.9	-7.9	3.354e-47	4.908e-45
ENSG00000133019.11_CHRM3	195.5	-5.4	5.715e-47	8.163e-45
ENSG00000251136.9_AF117829.1	254.8	-4.6	5.830e-47	8.238e-45
ENSG00000182557.8_SPNS3	500.7	-8	6.234e-47	8.794e-45
ENSG00000123358.20_NR4A1	4090.4	-10.7	5.504e-47	8.973e-45
ENSG00000076382.17_SPAG5	5295.5	3.4	5.823e-47	9.751e-45
ENSG00000119508.18_NR4A3	1574.2	-11.4	1.158e-46	1.388e-44
ENSG00000010539.11_ZNF200	447.2	2.4	1.608e-46	2.226e-44
ENSG00000089692.9_LAG3	71.9	-9.3	2.669e-46	3.777e-44
ENSG00000173409.14_ARV1	2014.4	3.3	2.589e-46	4.032e-44
ENSG00000186638.16_KIF24	988.9	3	3.532e-46	4.165e-44
ENSG00000132475.10_H3-3B	18392.6	-2.7	2.572e-46	4.316e-44
ENSG00000138078.15_PREPL	1868.1	3.1	3.048e-46	4.960e-44
ENSG00000023902.14_PLEKHO1	781.8	-6.6	3.671e-46	4.991e-44
ENSG00000285793.1_AC125232.2	1580.3	-2.8	4.998e-46	5.985e-44
ENSG00000158106.14_RHPN1	227.3	-6.9	4.995e-46	6.409e-44
ENSG00000066926.11_FECH	61732.4	2.6	4.125e-46	6.784e-44
ENSG00000136731.13_UGGT1	12711	2.6	4.835e-46	7.920e-44
ENSG00000270681.1_AC095055.1	214.7	-8	6.622e-46	8.790e-44
ENSG00000124766.7_SOX4	2656.9	-4.7	1.002e-45	1.586e-43
ENSG00000111684.11_LPCAT3	5952.4	3	1.221e-45	1.820e-43
ENSG00000154217.15_PITPNC1	295.3	-3.6	1.531e-45	2.008e-43
ENSG00000073921.18_PICALM	21914	1.8	1.323e-45	2.125e-43
ENSG00000134198.10_TSPAN2	262.9	-6.6	1.650e-45	2.199e-43
ENSG00000184557.4_SOCS3	209.8	-5.3	1.857e-45	2.300e-43
ENSG00000259834.1_AL365361.1	45.6	-7.1	1.887e-45	2.428e-43
ENSG00000134690.11_CDCA8	4121.4	3.6	2.013e-45	2.931e-43
ENSG00000117650.13_NEK2	2429.9	4	2.325e-45	3.567e-43
ENSG00000269911.1_FAM226B	75.4	-10.9	3.239e-45	4.137e-43
ENSG00000160741.17_CRTC2	3510.1	-2.6	3.168e-45	4.973e-43
ENSG00000088325.16_TPX2	13282.1	3.2	4.028e-45	6.111e-43
ENSG00000143878.10_RHOB	1031.9	-7.6	5.672e-45	7.191e-43
ENSG00000140280.14_LYSMD2	392.3	-3.6	6.066e-45	7.613e-43
ENSG00000106346.11_USP42	1503.2	-2.4	6.950e-45	7.675e-43
ENSG00000135476.12_ESPL1	4417.2	4.2	8.125e-45	1.252e-42
ENSG00000174059.17_CD34	3515.3	-6.8	9.474e-45	1.334e-42
ENSG00000055147.19_FAM114A2	1632.3	2.5	1.585e-44	1.745e-42
ENSG00000286190.1_AC055839.2	66.8	-8.7	2.064e-44	2.539e-42
ENSG00000157554.19_ERG	1603.8	-6.5	2.071e-44	2.542e-42
ENSG00000164463.12_CREBRF	8126.4	-4.2	1.902e-44	2.639e-42
ENSG00000143507.18_DUSP10	911.8	-4.3	2.811e-44	3.026e-42
ENSG00000007923.16_DNAJC11	2649.7	1.8	2.235e-44	3.256e-42
ENSG00000166225.8_FRS2	910.4	-1.9	2.954e-44	3.597e-42
ENSG00000288531.1_AL669831.7	53.8	-6.4	3.807e-44	4.713e-42
ENSG00000054793.14_ATP9A	311.1	-6.7	4.234e-44	5.098e-42
ENSG00000259494.2_MRPL46	630.4	2.2	4.447e-44	5.336e-42
ENSG00000094880.11_CDC23	1947.4	2.3	4.019e-44	5.576e-42
ENSG00000100814.18_CCNB1IP1	1819.3	-2	5.385e-44	7.261e-42
ENSG00000145907.15_G3BP1	9252.9	1.9	4.958e-44	7.261e-42
ENSG00000186105.8_LRRC70	190.9	-6.9	6.896e-44	7.792e-42
ENSG00000085415.16_SEH1L	2361.1	2.4	6.271e-44	8.366e-42
ENSG00000130772.14_MED18	549.9	2.7	8.146e-44	9.608e-42
ENSG00000269951.1_AC090181.2	45.1	-6.4	8.928e-44	1.041e-41
ENSG00000225439.3_BOLA3-AS1	647.1	3	9.240e-44	1.075e-41
ENSG00000101003.10_GINS1	1623.9	3.6	9.423e-44	1.093e-41
ENSG00000142945.13_KIF2C	5432.2	3.9	8.909e-44	1.168e-41
ENSG00000168056.16_LTBP3	1160.8	-3.7	1.191e-43	1.221e-41
ENSG00000176658.17_MYO1D	2174.4	2.4	1.032e-43	1.334e-41
ENSG00000103047.8_TANGO6	711.2	2.7	1.401e-43	1.382e-41
ENSG00000132744.8_ACY3	192.9	-12.3	1.548e-43	1.812e-41
ENSG00000197296.6_FITM2	295.6	2.6	1.920e-43	2.196e-41
ENSG00000273356.1_LINC02019	76.2	-7.1	2.369e-43	2.754e-41
ENSG00000120616.16_EPC1	2769.3	-2.4	3.002e-43	3.844e-41
ENSG00000228830.1_AL160408.2	6018	-3.8	3.019e-43	4.075e-41
ENSG00000125089.17_SH3TC1	340.4	-7.5	3.753e-43	4.234e-41
ENSG00000105808.17_RASA4	676.3	-3.8	4.777e-43	4.715e-41
ENSG00000231160.10_KLF3-AS1	110.8	-4.9	5.376e-43	5.987e-41
ENSG00000161888.11_SPC24	2044.5	4.2	5.489e-43	6.913e-41
ENSG00000147535.17_PLPP5	327.2	-1.9	6.252e-43	6.961e-41
ENSG00000143622.11_RIT1	4645.1	-3.7	5.363e-43	7.313e-41
ENSG00000112742.10_TTK	2496.9	3.9	5.711e-43	7.532e-41
ENSG00000145708.11_CRHBP	507.6	-10.3	8.024e-43	9.026e-41
ENSG00000206560.11_ANKRD28	4043	-2.9	7.694e-43	9.468e-41
ENSG00000126787.13_DLGAP5	7058.2	4.3	8.549e-43	1.056e-40
ENSG00000090889.12_KIF4A	4049.1	3.9	8.879e-43	1.086e-40
ENSG00000160185.15_UBASH3A	198.9	4.1	9.922e-43	1.102e-40
ENSG00000156515.23_HK1	50280.4	2.5	9.097e-43	1.208e-40
ENSG00000136541.14_ERMN	38	-7.3	1.133e-42	1.224e-40
ENSG00000130635.16_COL5A1	225.2	-8.1	1.164e-42	1.247e-40
ENSG00000165983.14_PTER	508.1	2.3	1.201e-42	1.317e-40
ENSG00000143776.18_CDC42BPA	4909.6	3	1.119e-42	1.351e-40
ENSG00000181982.18_CCDC149	23.1	-5.3	1.327e-42	1.417e-40
ENSG00000185507.21_IRF7	277.1	-4.6	1.320e-42	1.434e-40
ENSG00000153404.14_PLEKHG4B	60.3	-9.2	1.446e-42	1.518e-40
ENSG00000164615.5_CAMLG	2275.8	-2.4	1.241e-42	1.518e-40
ENSG00000079337.16_RAPGEF3	79.1	-5.6	1.562e-42	1.680e-40
ENSG00000206337.12_HCP5	43.4	-5	2.027e-42	2.114e-40
ENSG00000128944.13_KNSTRN	1675.4	3	2.577e-42	2.388e-40
ENSG00000197429.11_IPP	304.6	2.9	3.015e-42	3.150e-40
ENSG00000185220.12_PGBD2	594.6	2.4	3.092e-42	3.199e-40
ENSG00000129173.13_E2F8	1967.9	4.4	3.586e-42	4.439e-40
ENSG00000198826.11_ARHGAP11A	5341.1	3	4.165e-42	5.297e-40
ENSG00000117586.11_TNFSF4	110.7	-6.4	5.202e-42	5.362e-40
ENSG00000198924.8_DCLRE1A	1440.5	3.1	6.310e-42	5.740e-40
ENSG00000111913.19_RIPOR2	932.5	-2.8	9.010e-42	7.919e-40
ENSG00000092201.10_SUPT16H	10951.6	1.9	6.598e-42	8.045e-40
ENSG00000136717.15_BIN1	361.1	-6.2	8.583e-42	8.695e-40
ENSG00000174010.9_KLHL15	1655.9	-2.8	9.407e-42	9.563e-40
ENSG00000204592.9_HLA-E	7527	-4	8.051e-42	9.729e-40
ENSG00000267520.2_AC010733.2	669.6	-3.7	9.856e-42	9.895e-40
ENSG00000135045.7_C9orf40	2113	3.5	9.660e-42	1.090e-39
ENSG00000012061.15_ERCC1	1934.4	-1.4	1.204e-41	1.398e-39
ENSG00000010404.18_IDS	6176.9	-4.3	1.242e-41	1.483e-39
ENSG00000214212.9_C19orf38	290.7	-5.6	1.701e-41	1.691e-39
ENSG00000047457.14_CP	43.7	-8.1	1.726e-41	1.711e-39
ENSG00000171155.8_C1GALT1C1	368.2	2.2	1.772e-41	1.752e-39
ENSG00000238121.6_LINC00426	59.5	-6.8	2.341e-41	2.314e-39
ENSG00000256235.2_SMIM3	1458.2	-5.7	2.536e-41	2.503e-39
ENSG00000157456.8_CCNB2	5313.3	3.2	2.203e-41	2.585e-39
ENSG00000100350.14_FOXRED2	1796.3	2.5	2.506e-41	2.771e-39
ENSG00000211772.11_TRBC2	478.2	-6.3	3.394e-41	3.307e-39
ENSG00000095261.14_PSMD5	1779.6	1.4	2.898e-41	3.371e-39
ENSG00000172315.6_TP53RK	1268.8	2.4	4.282e-41	3.656e-39
ENSG00000171223.6_JUNB	7009.2	-4.8	3.204e-41	3.705e-39
ENSG00000175806.15_MSRA	224.2	-2.2	5.285e-41	4.863e-39
