gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000040633.13_PHF23	6031.6	4.9	5.141e-113	2.776e-110
ENSG00000126062.4_TMEM115	3185.5	3.7	4.565e-113	3.126e-110
ENSG00000127838.14_PNKD	8345.5	6.5	5.777e-113	4.506e-110
ENSG00000125952.20_MAX	4355.8	4	9.805e-113	5.105e-110
ENSG00000105402.8_NAPA	15697.6	3.7	1.220e-112	7.537e-110
ENSG00000129657.16_SEC14L1	29905.4	5.1	1.001e-112	7.537e-110
ENSG00000104904.12_OAZ1	57729.3	4.4	3.461e-112	2.576e-109
ENSG00000155975.10_VPS37A	1453.3	2.6	2.679e-111	1.158e-108
ENSG00000160570.14_DEDD2	10540	5.4	2.279e-111	1.349e-108
ENSG00000197894.11_ADH5	2295.6	-3.6	3.235e-111	1.572e-108
ENSG00000099804.9_CDC34	12432	5.1	3.053e-111	1.955e-108
ENSG00000006007.12_GDE1	16765.9	5.4	6.517e-111	4.128e-108
ENSG00000109756.9_RAPGEF2	42294.9	5.6	1.627e-110	1.020e-107
ENSG00000162722.9_TRIM58	124269	7	8.199e-110	3.994e-107
ENSG00000100568.11_VTI1B	9916.9	3.7	1.289e-109	8.783e-107
ENSG00000125037.12_EMC3	14930	4.9	2.749e-109	1.508e-106
ENSG00000164463.12_CREBRF	8126.4	6.7	4.036e-109	2.192e-106
ENSG00000166855.9_CLPX	6355.2	3.8	2.113e-107	9.876e-105
ENSG00000135956.8_TMEM127	2155.2	2.7	3.579e-107	2.042e-104
ENSG00000187837.3_H1-2	11962.7	9.1	4.123e-107	2.670e-104
ENSG00000138279.16_ANXA7	8326.8	3.1	1.059e-106	4.803e-104
ENSG00000180304.14_OAZ2	4291.7	4.3	1.221e-106	6.721e-104
ENSG00000143179.16_UCK2	1901.1	-4	1.460e-106	7.961e-104
ENSG00000146859.6_TMEM140	7614.2	6.2	3.998e-106	2.240e-103
ENSG00000087086.15_FTL	256423.5	4.8	4.060e-106	2.253e-103
ENSG00000118518.15_RNF146	838.6	3	1.898e-105	6.150e-103
ENSG00000196182.10_STK40	18436.2	5	1.611e-105	7.932e-103
ENSG00000123091.5_RNF11	18821.1	5.7	1.234e-104	5.234e-102
ENSG00000010404.18_IDS	6176.9	6.9	7.389e-104	2.965e-101
ENSG00000141562.18_NARF	33441.2	3.8	6.957e-104	3.332e-101
ENSG00000266412.5_NCOA4	164342.8	5.8	1.043e-103	4.303e-101
ENSG00000107341.5_UBE2R2	5288.2	3.3	1.508e-103	5.889e-101
ENSG00000122644.13_ARL4A	50979	7.3	4.398e-103	2.268e-100
ENSG00000099290.17_WASHC2A	9927.6	3.8	6.909e-103	2.775e-100
ENSG00000158195.11_WASF2	30103.7	3.6	6.116e-103	2.802e-100
ENSG00000171552.13_BCL2L1	112232.4	6.5	7.901e-103	3.969e-100
ENSG00000176095.12_IP6K1	12492.5	4.6	8.437e-103	4.669e-100
ENSG00000162413.16_KLHL21	25880	6.6	9.675e-103	4.777e-100
ENSG00000074319.13_TSG101	4411.8	2.9	1.907e-102	8.441e-100
ENSG00000134824.14_FADS2	20342.8	-4.9	3.244e-102	1.182e-99
ENSG00000172331.12_BPGM	50830	6.8	3.871e-102	1.465e-99
ENSG00000138166.6_DUSP5	1912.4	11.4	4.324e-102	1.867e-99
ENSG00000153561.13_RMND5A	19547.3	3.8	5.257e-102	1.957e-99
