gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000189212.12_DPY19L2P1	122.6	-2.9	1.455e-07	1.588e-05
ENSG00000218208.1_RPS27AP11	73.8	1.8	1.463e-07	1.588e-05
ENSG00000236992.2_RPL12P12	13.5	3.8	1.147e-07	1.670e-05
ENSG00000240036.4_AC104563.1	43.4	3.1	1.162e-07	1.679e-05
ENSG00000140943.17_MBTPS1	2488.3	-0.7	9.612e-08	1.719e-05
ENSG00000168071.22_CCDC88B	2171.3	-2.7	1.334e-07	1.719e-05
ENSG00000230734.1_RPL10P3	43.5	2	1.535e-07	1.719e-05
ENSG00000224631.4_RPS27AP16	1181.7	1.5	1.360e-07	1.744e-05
ENSG00000245060.8_LINC00847	307.5	1.3	1.648e-07	1.757e-05
ENSG00000179241.13_LDLRAD3	464.9	-2	1.610e-07	1.770e-05
ENSG00000220744.1_RPL5P18	15	3.2	1.286e-07	1.770e-05
ENSG00000133818.14_RRAS2	342.1	-2.3	1.990e-07	1.946e-05
ENSG00000243680.1_RPL37P23	32.7	2.9	1.829e-07	1.946e-05
ENSG00000175866.15_BAIAP2	193.6	-1.6	2.026e-07	2.025e-05
ENSG00000250144.1_AC104619.3	66.7	1.8	2.147e-07	2.200e-05
ENSG00000141753.7_IGFBP4	428.1	3.9	2.382e-07	2.235e-05
ENSG00000122965.11_RBM19	1754.6	-0.7	1.924e-07	2.325e-05
ENSG00000171208.10_NETO2	172.9	-2.9	2.494e-07	2.357e-05
ENSG00000105738.11_SIPA1L3	462.1	-1.4	2.398e-07	2.394e-05
ENSG00000198113.3_TOR4A	305.7	-1.8	4.451e-07	2.465e-05
ENSG00000179029.15_TMEM107	144.8	1.6	2.779e-07	2.739e-05
ENSG00000128284.19_APOL3	6447.7	1.7	2.464e-07	2.868e-05
ENSG00000142192.21_APP	3205.6	-1.7	2.700e-07	3.209e-05
ENSG00000003147.19_ICA1	1028.6	1.2	2.921e-07	3.213e-05
ENSG00000237433.1_RPSAP11	18.2	2	3.285e-07	3.237e-05
ENSG00000250982.2_GAPDHP35	108	3.9	4.538e-07	3.450e-05
ENSG00000240540.2_RPL3P9	17.8	2.1	3.927e-07	3.577e-05
ENSG00000227638.2_HNRNPA1P14	20.1	2.8	4.473e-07	4.050e-05
ENSG00000143862.8_ARL8A	633	1.4	4.317e-07	4.052e-05
ENSG00000185088.14_RPS27L	3036.8	0.8	3.686e-07	4.111e-05
ENSG00000185088.14_RPS27L	3036.8	0.8	3.686e-07	4.174e-05
ENSG00000234782.3_TPT1P9	118.8	2.4	5.057e-07	4.519e-05
