gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000183023.18_SLC8A1	20.9	-5.9	2.091e-07	5.859e-05
ENSG00000254373.1_AC112191.2	294.1	2.5	3.554e-07	6.199e-05
ENSG00000275719.1_AC008622.2	335.5	-3	4.123e-07	6.455e-05
ENSG00000149534.9_MS4A2	81.5	2.9	5.535e-07	8.036e-05
ENSG00000169508.7_GPR183	172.6	-4	4.675e-07	8.053e-05
ENSG00000077942.19_FBLN1	105	-4.2	5.780e-07	8.061e-05
ENSG00000158473.7_CD1D	23	-3.3	3.126e-07	8.061e-05
ENSG00000185559.16_DLK1	108.2	-4.7	5.811e-07	8.061e-05
ENSG00000158481.13_CD1C	25.7	-7.7	3.592e-07	8.964e-05
ENSG00000176014.13_TUBB6	5794.1	-0.9	4.559e-07	8.964e-05
ENSG00000185532.19_PRKG1	23.5	3.3	3.676e-07	8.964e-05
ENSG00000253861.1_SLC2A3P1	76.9	-23.7	5.766e-07	8.964e-05
ENSG00000133818.14_RRAS2	342.1	-2.1	5.928e-07	9.333e-05
ENSG00000119535.17_CSF3R	1490.9	-2.7	3.460e-07	9.653e-05
ENSG00000206190.12_ATP10A	295.8	-3.3	6.327e-07	9.752e-05
ENSG00000166428.13_PLD4	201.6	-4.3	7.983e-07	1.014e-04
ENSG00000141744.4_PNMT	198.4	-2.1	8.536e-07	1.073e-04
ENSG00000130508.11_PXDN	461.8	-3.6	8.016e-07	1.115e-04
ENSG00000139278.10_GLIPR1	352.6	-2.5	8.360e-07	1.151e-04
ENSG00000278599.5_TBC1D3E	30.4	40.7	7.889e-07	1.155e-04
ENSG00000000938.13_FGR	107.7	-3.2	9.478e-07	1.316e-04
ENSG00000196562.14_SULF2	36.9	-4.6	9.245e-07	1.316e-04
ENSG00000253445.1_AC027309.1	26.1	3.3	5.945e-07	1.316e-04
ENSG00000110446.11_SLC15A3	23.1	-5.6	6.214e-07	1.332e-04
ENSG00000135862.6_LAMC1	628	-1.9	1.141e-06	1.481e-04
ENSG00000165949.12_IFI27	1815.5	2.9	9.280e-07	1.556e-04
ENSG00000183111.12_ARHGEF37	2646	1.8	6.708e-07	1.644e-04
ENSG00000121316.11_PLBD1	39.8	-4.8	1.241e-06	1.659e-04
ENSG00000171714.11_ANO5	38	4	1.242e-06	1.669e-04
ENSG00000125845.7_BMP2	29	4.4	9.103e-07	1.756e-04
ENSG00000196482.18_ESRRG	24	-4.8	9.595e-07	1.834e-04
ENSG00000225746.12_MEG8	12.7	-5.2	6.518e-07	2.058e-04
ENSG00000184304.15_PRKD1	26.6	5.1	1.038e-06	2.085e-04
ENSG00000163563.8_MNDA	50.1	-3.9	2.795e-06	2.725e-04
ENSG00000239998.6_LILRA2	111.8	-1.9	2.189e-06	2.749e-04
ENSG00000048052.21_HDAC9	97.1	-3	2.351e-06	2.898e-04
ENSG00000104974.12_LILRA1	16.7	-4.9	1.550e-06	2.967e-04
ENSG00000141933.9_TPGS1	414.8	3.3	2.618e-06	3.249e-04
ENSG00000100448.4_CTSG	219.1	-3	2.701e-06	3.276e-04
ENSG00000131042.14_LILRB2	76.2	-5.7	2.760e-06	3.290e-04
ENSG00000120318.16_ARAP3	52.3	-3.1	3.403e-06	3.430e-04
ENSG00000182871.16_COL18A1	3283.5	2	2.486e-06	3.734e-04
ENSG00000185950.9_IRS2	7416.7	1.3	2.584e-06	3.734e-04
ENSG00000171132.14_PRKCE	127.8	1.8	3.374e-06	3.891e-04
ENSG00000115295.20_CLIP4	560.7	1.6	4.347e-06	4.731e-04
ENSG00000125089.17_SH3TC1	344.2	-2.6	4.168e-06	4.731e-04
ENSG00000253356.1_AC084024.3	6.8	19.7	6.197e-07	4.981e-04
ENSG00000165092.13_ALDH1A1	2613.8	1.7	1.760e-06	5.014e-04
ENSG00000150540.14_HNMT	16.3	-3.7	2.979e-06	5.241e-04
ENSG00000178789.9_CD300LB	18.6	-4.8	3.013e-06	5.261e-04
ENSG00000085265.11_FCN1	130.9	-6.3	6.218e-06	5.275e-04
ENSG00000104972.15_LILRB1	19	-4.1	3.663e-06	5.843e-04
ENSG00000153283.13_CD96	48.1	2.8	6.352e-06	5.843e-04
ENSG00000164089.9_ETNPPL	5	-6.7	8.624e-07	6.570e-04
ENSG00000182257.8_PRR34	7.1	4	1.346e-06	6.750e-04
ENSG00000233006.8_MIR3936HG	54.5	1.4	7.113e-06	7.480e-04
ENSG00000166927.13_MS4A7	17.7	-6.8	4.515e-06	7.717e-04
ENSG00000228956.8_SATB1-AS1	115.8	1.3	9.582e-06	7.717e-04
ENSG00000110324.10_IL10RA	391.8	-3.8	7.581e-06	7.800e-04
ENSG00000167083.7_GNGT2	39.3	-5.9	7.810e-06	8.054e-04
ENSG00000004939.15_SLC4A1	510513.3	2.6	6.658e-06	8.694e-04
ENSG00000162783.11_IER5	4307	1	7.604e-06	9.301e-04
ENSG00000215146.5_BX322639.1	30.3	-2.3	9.273e-06	9.495e-04
ENSG00000114013.16_CD86	29.8	-3.8	1.255e-05	9.652e-04
ENSG00000214212.9_C19orf38	293.2	-1.9	1.148e-05	9.652e-04
ENSG00000136826.15_KLF4	336.8	-3.9	9.880e-06	9.769e-04
ENSG00000008441.16_NFIX	7699.6	1.4	9.304e-06	1.040e-03
ENSG00000093072.18_ADA2	307	-4.2	1.275e-05	1.051e-03
ENSG00000101336.14_HCK	112.7	-4.2	1.136e-05	1.091e-03
ENSG00000186818.12_LILRB4	16.1	-4.2	7.416e-06	1.102e-03
ENSG00000171051.8_FPR1	190.2	-4.8	1.154e-05	1.119e-03
ENSG00000156299.13_TIAM1	103.5	-1.8	1.162e-05	1.119e-03
ENSG00000256229.8_ZNF486	172.2	-2.1	1.636e-05	1.188e-03
ENSG00000136514.3_RTP4	32.7	1.9	1.263e-05	1.201e-03
ENSG00000197629.6_MPEG1	96.8	-6.4	1.313e-05	1.223e-03
ENSG00000137462.8_TLR2	73.8	-3	1.366e-05	1.264e-03
ENSG00000107719.9_PALD1	77.9	-3.9	1.816e-05	1.277e-03
ENSG00000107796.13_ACTA2	268.1	1.7	1.827e-05	1.277e-03
ENSG00000204010.3_IFIT1B	32215	4.7	5.533e-06	1.277e-03
ENSG00000104870.13_FCGRT	1665.5	1.5	1.170e-05	1.292e-03
ENSG00000139679.15_LPAR6	103.5	-3.4	1.414e-05	1.292e-03
ENSG00000105205.7_CLC	1069.9	3.1	1.147e-05	1.304e-03
ENSG00000171316.12_CHD7	703.6	-2	8.652e-06	1.392e-03
ENSG00000068383.19_INPP5A	257.2	-0.8	1.639e-05	1.463e-03
ENSG00000107099.15_DOCK8	2443.8	-0.9	9.320e-06	1.472e-03
ENSG00000162711.17_NLRP3	243.1	-2.7	2.195e-05	1.472e-03
ENSG00000111052.7_LIN7A	30.3	3.3	1.720e-05	1.487e-03
ENSG00000065809.13_FAM107B	529.6	-1.2	1.949e-05	1.505e-03
ENSG00000120708.17_TGFBI	56.6	-4.8	1.778e-05	1.505e-03
ENSG00000145349.17_CAMK2D	92.7	-2.8	1.783e-05	1.536e-03
ENSG00000121053.6_EPX	1360.9	-3.6	1.446e-05	1.557e-03
ENSG00000150054.18_MPP7	482.9	1	2.106e-05	1.591e-03
ENSG00000132694.18_ARHGEF11	305.1	-1.1	1.957e-05	1.608e-03
ENSG00000133226.17_SRRM1	5933.6	-0.7	1.702e-05	1.608e-03
ENSG00000108932.12_SLC16A6	14.2	-4.1	1.040e-05	1.620e-03
ENSG00000214922.9_HLA-F-AS1	136.2	1.6	1.990e-05	1.632e-03
ENSG00000231711.2_LINC00899	34.2	2.9	2.060e-05	1.665e-03
ENSG00000135549.15_PKIB	12.1	-3.7	1.123e-05	1.719e-03
ENSG00000002330.13_BAD	759.6	1.5	1.839e-05	1.785e-03
ENSG00000267272.5_LINC01140	49.6	-2.8	2.909e-05	1.796e-03
ENSG00000168502.17_MTCL1	142.9	2.2	2.288e-05	1.825e-03
ENSG00000083857.14_FAT1	377	-2.3	2.316e-05	1.863e-03
ENSG00000010327.10_STAB1	128.2	-4.2	2.883e-05	1.915e-03
ENSG00000139508.14_SLC46A3	220.7	1.5	3.170e-05	1.915e-03
ENSG00000237484.6_LINC01684	8.6	3.8	5.252e-06	1.922e-03
ENSG00000105374.10_NKG7	158	-3	3.365e-05	2.000e-03
ENSG00000115525.18_ST3GAL5	92.6	-2.3	2.550e-05	2.000e-03
ENSG00000134827.8_TCN1	31.3	2.8	2.571e-05	2.002e-03
